0,97,345,1054,text
1,84,364,921,1186,text
10,142,219,713,516,text
101,39,452,573,713,table
107,4,1,415,294,text
108,92,82,514,657,text
113,32,125,189,184,table
113,19,16,165,120,text
114,1,1,99,95,table
137,20,73,179,122,table
137,17,125,179,235,text
138,19,21,171,210,text
139,15,24,187,49,table
139,19,77,189,226,text
140,6,30,149,194,table
140,8,206,77,241,text
141,13,13,184,227,text
153,9,22,196,218,table
154,7,65,267,132,table
154,8,52,252,64,text
154,6,1,226,54,table
160,18,99,189,227,text
160,17,4,189,94,table
176,27,54,156,178,table
176,27,181,156,230,text
179,29,132,142,221,table
179,29,43,171,130,text
188,8,64,224,105,table
188,129,148,219,219,text
191,8,1,185,96,table
191,7,107,191,138,text
192,8,87,141,225,table
192,15,39,170,62,table
193,23,64,172,120,table
193,29,35,156,56,table
193,22,216,172,233,table
193,23,202,158,215,text
201,4,23,175,250,table
202,5,7,95,100,table
205,8,79,172,128,table
205,7,210,170,220,text
205,8,60,172,77,text
208,23,146,82,213,table
208,86,146,136,212,table
208,141,149,197,212,table
208,22,54,193,73,text
219,6,107,295,166,table
219,5,74,245,106,text
219,7,4,156,62,text
224,6,163,170,202,table
224,2,231,172,273,text
224,7,100,169,158,table
224,6,48,170,96,table
224,6,9,169,26,table
224,7,27,169,48,table
249,22,35,226,88,table
249,25,96,229,161,text
300,20,111,181,205,table
300,23,57,181,109,text
300,19,207,181,234,text
303,6,8,192,97,table
303,12,99,188,227,text
320,1,1,225,218,table
330,18,7,190,242,text
334,10,147,191,241,table
334,10,41,190,131,table
343,17,72,183,133,table
343,20,144,177,238,text
352,17,121,173,173,table
352,18,176,174,222,table
352,19,16,173,116,text
374,6,87,232,204,table
421,10,53,184,149,table
421,11,38,177,53,text
438,37,107,195,223,table
438,34,1,192,103,text
451,10,6,125,101,table
451,9,126,179,182,text
462,2,108,168,193,table
462,4,25,93,55,table
462,105,22,176,56,table
462,186,25,256,54,table
478,9,22,211,181,table
510,5,4,258,114,table
515,18,109,175,146,table
515,15,157,177,172,text
